Location,Stadium,Stadiums_Capcity
Vitoria-Gasteiz,Mendizorrotza,19840
Bilbao,San Mamés,53289
Madrid,Wanda Metropolitano,67703
Barcelona,Camp Nou,99354
Vigo,Balaídos,29000
Eibar,Ipurua,7083
Barcelona,RCDE Stadium,40500
Getafe,Coliseum Alfonso Pérez,17393
Girona,Montilivi,13500
Huesca,El Alcoraz,5500
Leganés,Butarque,11454
Valencia,Ciutat de València,26354
Madrid,Vallecas,14708
Seville,Benito Villamarín,60720
Madrid,Santiago Bernabéu,81044
San Sebastián,Anoeta,25000
Seville,Ramón Sánchez Pizjuán,42500
Valencia,Mestalla,55000
Valladolid,José Zorrilla,26512
Villarreal,Estadio de la Cerámica,23500
